185,175,24,24
185,150,24,24
185,125,24,24
185,100,24,24
185,75,24,24
185,50,24,24
185,25,24,24
185,0,24,24
85,600,24,24
85,575,24,24
85,550,24,24
85,525,24,24
85,500,24,24
85,475,24,24
85,450,24,24
85,425,24,24
85,400,24,24
85,375,24,24
85,350,24,24
85,325,24,24
85,300,24,24
85,275,24,24
85,250,24,24
85,225,24,24
85,200,24,24
85,175,24,24
85,150,24,24
85,125,24,24
85,100,24,24
85,75,24,24
85,50,24,24
85,25,24,24
85,0,24,24
85,-25,24,24
85,-50,24,24
85,-75,24,24
85,-100,24,24
85,-125,24,24
210,175,24,24
235,175,24,24
260,175,24,24
285,175,24,24
310,175,24,24
335,175,24,24
340,150,24,24
340,125,24,24
340,100,24,24
340,75,24,24
365,55,24,24
390,55,24,24
415,55,24,24
440,55,24,24
465,55,24,24
490,55,24,24
515,55,24,24
540,55,24,24
565,55,24,24
590,55,24,24
615,55,24,24
640,55,24,24
665,55,24,24
690,55,24,24
690,55,24,24
690,80,24,24
690,105,24,24
690,130,24,24
690,155,24,24
690,180,24,24
690,180,24,24
715,180,24,24
740,180,24,24
765,180,24,24
790,180,24,24
815,180,24,24
815,180,24,24
815,205,24,24
815,230,24,24
815,255,24,24
815,280,24,24
815,305,24,24
815,330,24,24
815,355,24,24
815,380,24,24
815,405,24,24
815,405,24,24
790,405,24,24
765,405,24,24
740,405,24,24
715,405,24,24
690,405,24,24
690,405,24,24
690,430,24,24
690,455,24,24
690,480,24,24
690,505,24,24
690,530,24,24
690,530,24,24
665,530,24,24
640,530,24,24
615,530,24,24
590,530,24,24
565,530,24,24
540,530,24,24
515,530,24,24
490,530,24,24
465,530,24,24
440,530,24,24
415,530,24,24
390,530,24,24
365,530,24,24
335,400,24,24
335,425,24,24
335,450,24,24
335,475,24,24
335,500,24,24
335,525,24,24
210,400,24,24
235,400,24,24
260,400,24,24
285,400,24,24
310,400,24,24
335,400,24,24
185,400,24,24
185,425,24,24
185,450,24,24
185,475,24,24
185,500,24,24
185,525,24,24
185,550,24,24
185,575,24,24
85,275,24,24
110,275,24,24
135,275,24,24
160,275,24,24
185,275,24,24
210,275,24,24
235,275,24,24
260,275,24,24
285,275,24,24
310,275,24,24
335,275,24,24
360,275,24,24
385,275,24,24
410,275,24,24
435,275,24,24
435,275,24,24
435,250,24,24
435,225,24,24
435,200,24,24
435,175,24,24
435,150,24,24
435,150,24,24
460,150,24,24
485,150,24,24
510,150,24,24
535,150,24,24
560,150,24,24
585,150,24,24
435,150,24,24
460,150,24,24
485,150,24,24
510,150,24,24
535,150,24,24
560,150,24,24
585,150,24,24
595,175,24,24
595,200,24,24
595,225,24,24
595,250,24,24
595,275,24,24
595,275,24,24
620,275,24,24
645,275,24,24
670,275,24,24
695,275,24,24
720,275,24,24
585,310,24,24
610,310,24,24
635,310,24,24
660,310,24,24
685,310,24,24
710,310,24,24
585,435,24,24
585,410,24,24
585,385,24,24
585,360,24,24
585,335,24,24
585,310,24,24
460,435,24,24
485,435,24,24
510,435,24,24
535,435,24,24
560,435,24,24
585,435,24,24
435,300,24,24
435,325,24,24
435,350,24,24
435,375,24,24
435,400,24,24
435,425,24,24
85,300,24,24
110,300,24,24
135,300,24,24
160,300,24,24
185,300,24,24
210,300,24,24
235,300,24,24
260,300,24,24
285,300,24,24
310,300,24,24
335,300,24,24
360,300,24,24
385,300,24,24
410,300,24,24
435,300,24,24
